Name,HDFC_ID,Category
HONEYWELL AUTOMATION INDIA LIMITED,961,A
HONEYWELL TECHNOLOGY SOLUTIONS LAB PRIVATE LIMITED,962,A
HSBC INVESTDIRECT SECURITIES INDIA PRIVATE LIMITED,968,A
HUNTSMAN INTERNATIONAL INDIA PRIVATE LIMITED,971,A
CONCENTRIX DAKSH SERVICES INDIA PRIVATE LIMITED,975,A
TEXAS INSTRUMENTS INDIA PRIVATE LIMITED,976,A
TEXTRON INDIA PRIVATE LIMITED,981,A
AARTI DRUGS LIMITED,510,A
AFCONS INFRASTRUCTURE LIMITED,661,A
AMTEK AUTO LIMITED,111,A
APAR INDUSTRIES LIMITED,126,A
ARROW ELECTRONICS INDIA PRIVATE LIMITED,132,A
AMPHENOL INTERCONNECT INDIA PRIVATE LIMITED,2621,A
GUJARAT NARMADA VALLEY FERTILIZERS AND CHEMICALS LIMITED,2820,A
LOHIA CORP LIMITED,2829,A
LOBO STAFFING SOLUTIONS PRIVATE LIMITED,2832,A
LAMBDA THERAPEUTIC RESEARCH LIMITED,2848,A
BHARAT COKING COAL LIMITED,1968,A
BHARTI TELEMEDIA LIMITED,1973,A
ADITYA BIRLA MONEY MART LIMITED,1981,A
MEDREICH LIMITED,1996,A
HERITAGE FOODS LIMITED,1999,A
HERO CORPORATE SERVICE PRIVATE LIMITED,2000,A
IL AND FS INVESTMENT MANAGERS LIMITED,996,A
INDIA GLYCOLS LIMITED,999,A
JABIL CIRCUIT INDIA PRIVATE LIMITED,1101,A
JAGRAN PRAKASHAN LIMITED,1106,A
WELSPUN INDIA LIMITED,1086,A
WEST COAST PAPER MILLS LIMITED,1089,A
WHEELS INDIA LIMITED,1093,A
YAHOO INDIA PRIVATE LIMITED,1110,A
YOKOGAWA INDIA LIMITED,1115,A
ZEE ENTERTAINMENT ENTERPRISES LIMITED,1119,A
JINDAL POLY FILMS LIMITED,1127,A
J K CEMENT LIMITED,1128,A
ATUL LIMITED,148,A
AVERY DENNISON INDIA PRIVATE LIMITED,159,A
BAJAJ ELECTRICALS LIMITED,173,A
BALRAMPUR CHINI MILLS LTD.,180,A
BANNARI AMMAN SUGARS LIMITED,184,A
BAYER PHARMACEUTICALS PRIVATE LIMITED,195,A
BHARAT BIJLEE LIMITED,202,A
BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,206,A
NAVA BHARAT VENTURES LIMITED,223,A
KHIVRAJ MOTORS PRIVATE LIMITED,2860,A
NTT DATA GLOBAL DELIVERY SERVICES PRIVATE LIMITED,2862,A
KAVERI SEED COMPANY LTD.,2864,A
BAJAJ ALLIANZ LIFE INSURANCE COMPANY LIMITED,2866,A
ALCHEMY CAPITAL MANAGEMENT PRIVATE LIMITED,3116,A
JAKSON LIMITED,2878,A
INTERTEK INDIA PRIVATE LIMITED,2907,A
INTERGLOBE AVIATION LIMITED,2914,A
INFINITI RETAIL LIMITED,2929,A
INDUCTIS INDIA PRIVATE LIMITED,2933,A
INDOCO REMEDIES LIMITED,2936,A
INDIAIDEAS COM LIMITED,2948,A
INDIABULLS REAL ESTATE LIMITED,2950,A
IFB INDUSTRIES LTD,2972,A
KALYANI STEELS LTD,1135,A
KELLOGG INDIA PRIVATE LIMITED,1141,A
KENNAMETAL INDIA LIMITED,1143,A
KRBL LIMITED,1158,A
LEXMARK INTERNATIONAL INDIA PRIVATE LIMITED TRF.,1174,A
MADURA COATS PRIVATE LIMITED,1205,A
MAHARASHTRA SEAMLESS LIMITED,1207,A
MAN INDUSTRIES INDIA LIMITED,1214,A
MANGALORE CHEMICALS AND FERTILISERS LIMITED,1216,A
BLUE STAR LIMITED,253,A
BOSCH CHASSIS SYSTEMS INDIA LIMITED,267,A
BOSTON SCIENTIFIC INDIA PRIVATE LIMITED,269,A
CARRIER AIRCONDITIONING AND REFRIGERATION LIMITED,303,A
CCL PRODUCTS INDIA LIMITED,311,A
CENTURY ENKA LIMITED,318,A
CHEMPLAST SANMAR LIMITED,328,A
AMBIT CAPITAL PRIVATE LIMITED,3126,A
AMRUTANJAN HEALTH CARE LIMITED,3130,A
APPS ASSOCIATES PRIVATE LIMITED,3140,A
ASIAN INSTITUTE OF GASTROENTEROLOGY PRIVATE LIMITED,3150,A
AVENUE SUPERMARTS LIMITED,3158,A
BETTS INDIA PRIVATE LIMITED,3182,A
JMC PROJECTS INDIA LIMITED,2189,A
HIGHWAY INDUSTRIES LIMITED,2191,A
KAIRA CAN COMPANY LIMITED,2249,A
RAPTAKOS BRETT AND COMPANY LIMITED,2226,A
RELIANCE FRESH PRIVATE LIMITED,2264,A
3M ELECTRO AND COMMUNICATION INDIA PVT LTD,1177,A
ADANI WILMAR LIMITED,1183,A
ADHUNIK ALLOYS AND POWER LIMITED,1190,A
ADITYA BIRLA MONEY LIMITED,1195,A
ION EXCHANGE INDIA LIMITED,1236,A
JONES LANG LASALLE PROPERTY CONSULTANTS INDIA PVT LTD,1270,A
ROCKWELL AUTOMATION INDIA PRIVATE LIMITED,558,A
SAVITA OIL TECHNOLOGIES LIMITED,604,A
SHOPPERS STOP LIMITED,630,A
SI GROUP INDIA PRIVATE LIMITED,665,A
SMARTLINK NETWORK SYSTEMS LIMITED.,673,A
SOBHA LIMITED,677,A
SONATA SOFTWARE LIMITED,679,A
CARGILL INDIA PRIVATE LIMITED,3208,A
CHEMETALL INDIA PRIVATE LIMITED,3224,A
CHIRON BEHRING VACCINES PRIVATE LIMITED,3225,A
CROSSLAY REMEDIES LIMITED,3246,A
HLS ASIA LIMITED,2217,A
HONDA CARS INDIA LIMITED,2222,A
HSBC ELECTRONIC DATA PROCESSING INDIA PVT LTD,2231,A
RENAULT NISSAN TECHNOLOGY AND BUSINESS CENTRE INDIA PVT LTD,2291,A
LEA ASSOCIATES SOUTH ASIA PRIVATE LIMITED,1318,A
ARVIND LIMITED,1250,A
CYBAGE SOFTWARE PRIVATE LIMITED,1367,A
ATS ELGI LIMITED,1255,A
STERLITE TECHNOLOGIES LIMITED,789,A
STRYKER INDIA PVT LTD,794,A
SUASHISH DIAMONDS LIMITED,797,A
CS BUSINESS SERVICES INDIA PRIVATE LIMITED,396,A
DATAMATICS GLOBAL SERVICES LIMITED,412,A
DECCAN CHRONICLE HOLDINGS LIMITED,429,A
DEEPAK FERTILISERS AND PETROCHEMICALS CORPORATION LTD,431,A
DELOITTE TAX SERVICES INDIA PRIVATE LIMITED,437,A
DHAMPUR SUGAR MILLS LIMITED,440,A
CUBE CONSTRUCTION ENGINEERING LIMITED,3251,A
CURRIE AND BROWN INDIA PRIVATE LIMITED,3252,A
DESAI BROTHERS LTD,3265,A
DHARAMPAL SATYAPAL LIMITED,3270,A
DHARMANANDAN DIAMONDS PRIVATE LIMITED,3271,A
TILAKNAGAR INDUSTRIES LIMITED,3296,A
AMAR TEA PRIVATE LIMITED,3838,A
ASK AUTOMOTIVE PRIVATE LIMITED,3992,A
AJANTA PHARMA LIMITED,2377,A
SHARDA MOTOR INDUSTRIES LTD,2360,A
SHAREKHAN LIMITED,2370,A
CONTINENTAL AUTOMOTIVE COMPONENTS INDIA PRIVATE LIMITED,2383,A
SLK SOFTWARE SERVICES PRIVATE LIMITED,2392,A
SMC GLOBAL SECURITIES LIMITED,2394,A
BUHLER INDIA PRIVATE LIMITED,1306,A
CONTROL PRINT LIMITED,1356,A
PARLE AGRO PRIVATE LIMITED,1402,A
PENTAIR WATER INDIA PRIVATE LIMITED,1410,A
EATON TECHNOLOGIES PRIVATE LIMITED,468,A
MIRZA INTERNATIONAL LIMITED,146,A
MPS LIMITED,205,A
MUNJAL AUTO INDUSTRIES LIMITED,210,A
NAHAR SPINNING MILLS LTD,220,A
NETWORK SOLUTIONS PRIVATE LIMITED,242,A
NOMURA SERVICES INDIA PRIVATE LIMITED,255,A
COSMO FILMS LIMITED,4048,A
ABB GLOBAL INDUSTRIES AND SERVICES PRIVATE LIMITED,3966,A
STAR HEALTH AND ALLIED INSURANCE COMPANY LTD,2431,A
TV18 BROADCAST LIMITED,2976,A
HINDUSTAN PLATINUM PRIVATE LIMITED,2985,A
HINDUJA GLOBAL SOLUTIONS LIMITED,2989,A
DELOITTE AND TOUCHE ASSURANCE AND ENTERPRISE RISK SERV I P L,1381,A
QUANT BROKING PRIVATE LIMITED,1442,A
QUIPPO OIL AND GAS INFRASTRUCTURE LIMITED,1444,A
RELIANCE GROUP SUPPORT SERVICES PVT LTD,1484,A
PERFETTI VAN MELLE INDIA PRIVATE LIMITED,331,A
PHILLIPS CARBON BLACK LIMITED,340,A
PRAXAIR INDIA PRIVATE LIMITED,362,A
PRECISION WIRES INDIA LIMITED,365,A
RADICO KHAITAN LIMITED,399,A
RAMCO INDUSTRIES LIMITED,409,A
ADANI ENTERPRISES LIMITED,4009,A
CLSA INDIA PRIVATE LIMITED,3777,A
ZF WIND POWER COIMBATORE PRIVATE LIMITED,3001,A
GRANULES INDIA LIMITED,3010,A
GMR AIRPORT DEVELOPERS LIMITED,3016,A
GKN DRIVELINE INDIA LIMITED,3030,A
GILLETTE INDIA LIMITED,3036,A
